store_id,item,Proc_date,Item_Description,Size,Total_units,Total_lbs,Total_Retail_$,Total_Cost_$
104,3913116850,3/27/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,65.88,66
104,3913116850,4/24/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,66
104,3913116850,5/4/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,60,0,239.4,255
104,3913116850,5/15/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,6/5/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,51
104,3913116850,6/12/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,65.88,51
104,3913116850,6/19/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,10/3/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,10/9/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,24,0,191.75,132
104,3913116850,10/30/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,36,0,287.63,162
104,3913116850,12/4/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,59.88,48
104,3913116850,12/7/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,12/26/2023,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,59.88,48
104,3913116850,1/29/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,60
104,3913116850,2/29/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,83.88,70.8
104,3913116850,3/14/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,63
104,3913116850,3/21/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,57
104,3913116850,4/5/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,24,0,119.76,114
104,3913116850,4/18/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,5/6/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,57
104,3913116850,6/3/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,57
104,3913116850,6/17/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,60
104,3913116850,6/24/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,60
104,3913116850,7/8/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,8/16/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,57
104,3913116850,8/19/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,24,0,143.75,114
104,3913116850,8/23/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,59.88,57
104,3913116850,9/9/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,72,0,575.27,284.4
104,3913116850,11/4/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,36,0,287.63,142.2
104,3913116850,12/6/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,59.88,47.4
104,3913116850,12/20/2024,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,71.88,57
104,3913116850,1/3/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,36,0,215.64,212.4
104,3913116850,2/17/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,36,0,287.63,142.2
104,3913116850,3/17/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,83.88,70.8
104,3913116850,4/4/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,48,0,287.51,283.2
104,3913116850,4/11/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,0,0,0,0
104,3913116850,5/2/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,5/27/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,12,0,95.88,70.8
104,3913116850,6/2/2025,BELLATORIA BBQ CHK PIZZA,15.51 OZ,24,0,191.75,114
104,3913116852,6/19/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,71.88,54
104,3913116852,7/23/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,71.88,54
104,3913116852,8/27/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,71.88,54
104,3913116852,9/10/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,71.88,54
104,3913116852,10/1/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,71.88,46.8
104,3913116852,11/5/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,59.88,46.8
104,3913116852,12/24/2018,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,59.88,46.8
104,3913116852,1/28/2019,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,24,0,119.76,90
104,3913116852,2/11/2019,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,36,0,215.64,140.4
104,3913116852,3/4/2019,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,24,0,143.75,90
104,3913116852,4/22/2019,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,71.88,45
104,3913116852,5/20/2019,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,12,0,59.88,45
