Store_Id,item,Item_description,Display_size,On_Hand,Week_4_Avg_Movement,Week_13_Avg_Movement,Weeks_of_Supply
104,3913116850,BELLATORIA BBQ CHK PIZZA,15.51 OZ,7,8.75,7.23,0.97
104,3913116852,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,23,8.75,6.62,3.47
104,3913116853,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,10,10.25,10.31,0.97
104,3913116856,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,8,9.5,10.62,0.75
104,3913116891,BELLATORIA SAUS ITALIA PIZZA,18.27 OZ,14,9.75,8.92,1.57
104,3913116957,BELLATORIA HAWAIIAN BBQ PIZZA,16.35 OZ,-1,9,6.54,-0.15
104,4219700201,BREW PUB PEPPERONI PIZZA,23.25 OZ,-23,3.75,16.54,-1.39
104,4219700203,BREW PUB SAUS PEP PIZZA,26.45 OZ,-4,1.25,7.46,-0.54
104,4219700204,BREW PUB CHEESE PIZZA,22.75 OZ,18,1.5,6.77,2.66
104,4219700205,BREW PUB 4 MEAT PIZZA,28.25 OZ,-49,4,24.15,-2.03
104,4219700206,BREW PUB BACON CHSBRGR PIZZA,25.25 OZ,-22,2.25,16.38,-1.34
104,4219700207,BREW PUB SUPREME PIZZA,30.75 OZ,-15,0.75,18.38,-0.82
104,4219700334,BREW PUB TACO GRANDE,23.89 OZ,13,2,6.15,2.11
104,4280010700,TOTINO SUPREME PIZZA,10.9 OZ,30,19,15.23,1.97
104,4280010800,TOTINO 3 MEAT PIZZA,10.5 OZ,95,30.25,26.54,3.58
104,4280011100,TOTINO SAUSAGE PIZZA,10.8 OZ,110,7.75,10.46,10.52
104,4280011200,TOTINO HAMBRGR PIZZA,10.9 OZ,-91,16,14.54,-6.26
104,4280011300,TOTINO CHEESE PIZZA,9.8 OZ,56,16,14.23,3.94
104,4280011400,TOTINO PEPPERONI PIZZA,10.2 OZ,-5,68.5,54.31,-0.09
104,4280011520,TOTINO 3 CHEESE PIZZA,9.8 OZ,51,20.5,17.38,2.93
104,4280011600,TOTINO COMBINATION PIZZA,10.7 OZ,60,23.75,20.46,2.93
104,4786100005,IMOS PEPPERONI PIZZA,17.3 OZ,0,7.75,7.54,0
104,7192114978,DIGIORNO HAND TOSSED SUPREME,18.9 OZ,5,7,6.31,0.79
104,7192119954,TOMBSTONE SUPREME PIZZA,20.8 OZ,37,3.5,7.31,5.06
104,7192156420,TOMBSTONE 4 MEAT PIZZA,21.1 OZ,14,7.25,9.38,1.49
