Date,Forecast,Lower_Bound,Upper_Bound,Store_Id,Item,Forecast_Generated,Days_In_Future,Product,Model,Forecast_Type
2025-07-09,0.0,0.0,634598384.3717597,104.0,3913116850.0,2025-08-04 17:39:06.069985,1,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-10,0.0,0.0,643959201.6117115,104.0,3913116850.0,2025-08-04 17:39:06.069985,2,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-11,0.0,0.0,660490577.692624,104.0,3913116850.0,2025-08-04 17:39:06.069985,3,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-12,0.0,0.0,661418295.2897037,104.0,3913116850.0,2025-08-04 17:39:06.069985,4,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-13,0.0,0.0,662328783.473897,104.0,3913116850.0,2025-08-04 17:39:06.069985,5,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-14,0.0,0.0,662408526.3768256,104.0,3913116850.0,2025-08-04 17:39:06.069985,6,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-15,0.0,0.0,662461266.6602794,104.0,3913116850.0,2025-08-04 17:39:06.069985,7,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-16,0.0,0.0,662467517.3875685,104.0,3913116850.0,2025-08-04 17:39:06.069985,8,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-17,0.0,0.0,662470668.3679668,104.0,3913116850.0,2025-08-04 17:39:06.069985,9,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-18,0.0,0.0,662471131.3742169,104.0,3913116850.0,2025-08-04 17:39:06.069985,10,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-19,0.0,0.0,662471324.2282498,104.0,3913116850.0,2025-08-04 17:39:06.069985,11,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-20,0.0,0.0,662471357.3009733,104.0,3913116850.0,2025-08-04 17:39:06.069985,12,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-21,0.0,0.0,662471369.3282982,104.0,3913116850.0,2025-08-04 17:39:06.069985,13,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-22,0.0,0.0,662471371.6342763,104.0,3913116850.0,2025-08-04 17:39:06.069985,14,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-23,0.0,0.0,662471372.3952124,104.0,3913116850.0,2025-08-04 17:39:06.069985,15,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-24,0.0,0.0,662471372.5533631,104.0,3913116850.0,2025-08-04 17:39:06.069985,16,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-25,0.0,0.0,662471372.6020287,104.0,3913116850.0,2025-08-04 17:39:06.069985,17,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-26,0.0,0.0,662471372.6127515,104.0,3913116850.0,2025-08-04 17:39:06.069985,18,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-27,0.0,0.0,662471372.6158886,104.0,3913116850.0,2025-08-04 17:39:06.069985,19,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-28,0.0,0.0,662471372.6166097,104.0,3913116850.0,2025-08-04 17:39:06.069985,20,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-29,0.0,0.0,662471372.6168132,104.0,3913116850.0,2025-08-04 17:39:06.069985,21,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-30,0.0,0.0,662471372.6168611,104.0,3913116850.0,2025-08-04 17:39:06.069985,22,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-07-31,0.0,0.0,662471372.6168743,104.0,3913116850.0,2025-08-04 17:39:06.069985,23,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-01,0.0,0.0,662471372.6168776,104.0,3913116850.0,2025-08-04 17:39:06.069985,24,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-02,0.0,0.0,662471372.6168786,104.0,3913116850.0,2025-08-04 17:39:06.069985,25,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-03,0.0,0.0,662471372.6168787,104.0,3913116850.0,2025-08-04 17:39:06.069985,26,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-04,0.0,0.0,662471372.6168789,104.0,3913116850.0,2025-08-04 17:39:06.069985,27,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-05,0.0,0.0,662471372.6168789,104.0,3913116850.0,2025-08-04 17:39:06.069985,28,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-06,0.0,0.0,662471372.6168789,104.0,3913116850.0,2025-08-04 17:39:06.069985,29,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
2025-08-07,0.0,0.0,662471372.6168789,104.0,3913116850.0,2025-08-04 17:39:06.069985,30,BELLATORIA BBQ CHK PIZZA,Weighted_ARIMA,Time Series Ensemble
