Date,Store_Id,Item,Forecast,Product,Size,Forecast_Generated,Days_In_Future,Std_Dev,Lower_Bound,Upper_Bound
2025-07-09,104.0,3913116850.0,0.37562985118057196,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,1,0.5681727490965026,0.0,1.7913528086580823
2025-07-10,104.0,3913116850.0,0.37978547635719234,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,2,0.5018529416951458,0.0,1.710049873172285
2025-07-11,104.0,3913116850.0,0.3549021896106899,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,3,0.5735032469432901,0.0,1.710049873172285
2025-07-12,104.0,3913116850.0,0.37485351086909885,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,4,0.6220891527914476,0.0,1.9696151081307465
2025-07-13,104.0,3913116850.0,0.37288415996649427,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,5,0.6041560207305288,0.0,1.710049873172285
2025-07-14,104.0,3913116850.0,0.3501241374250998,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,6,0.6011500290302503,0.0,1.7289807229120955
2025-07-15,104.0,3913116850.0,0.35651384771295713,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,7,0.6126798116483084,0.0,1.550535164119409
2025-07-16,104.0,3913116850.0,0.3557266310067788,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,8,0.5999229050464984,0.0,1.0787592543906235
2025-07-17,104.0,3913116850.0,0.3834523579355101,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,9,0.5610785721146585,0.0,1.6123167324284027
2025-07-18,104.0,3913116850.0,0.4082367437256612,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,10,0.680882777386024,0.0,1.9696752223351766
2025-07-19,104.0,3913116850.0,0.38155413754713163,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,11,0.7137530915668191,0.0,1.9696661116615684
2025-07-20,104.0,3913116850.0,0.44056088466480037,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,12,0.834491833645602,0.0,2.523331966478263
2025-07-21,104.0,3913116850.0,0.3483324340419334,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,13,0.6578238315600158,0.0,1.5022757267082698
2025-07-22,104.0,3913116850.0,0.3187100133179926,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,14,0.7606598556837534,0.0,1.9720409341245622
2025-07-23,104.0,3913116850.0,0.36322210544875577,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,15,0.701433852212223,0.0,1.5535801791625823
2025-07-24,104.0,3913116850.0,0.382354560732515,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,16,0.6782576694899962,0.0,1.947288063647036
2025-07-25,104.0,3913116850.0,0.38113786834595537,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,17,0.7429301736396438,0.0,1.713628423790765
2025-07-26,104.0,3913116850.0,0.38258912475971096,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,18,0.8964728165402605,0.0,1.9696661116615684
2025-07-27,104.0,3913116850.0,0.40931778560708604,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,19,0.7940650918539749,0.0,1.710049873172285
2025-07-28,104.0,3913116850.0,0.3413519073816816,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,20,0.7703078245406154,0.0,1.947288063647036
2025-07-29,104.0,3913116850.0,0.3378775178088375,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,21,0.7608232297701719,0.0,1.6129250028228415
2025-07-30,104.0,3913116850.0,0.40030816820060316,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,22,0.7946771269380406,0.0,1.713628423790765
2025-07-31,104.0,3913116850.0,0.40853887035763087,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,23,0.8038140983281241,0.0,1.947288063647036
2025-08-01,104.0,3913116850.0,0.3921079523502222,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,24,0.7573398206653781,0.0,1.850384928454953
2025-08-02,104.0,3913116850.0,0.3606496572031781,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,25,0.8874232256242052,0.0,1.808149807410547
2025-08-03,104.0,3913116850.0,0.3492099388106412,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,26,0.6640310812799961,0.0,1.2366953982931392
2025-08-04,104.0,3913116850.0,0.3418330627817397,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,27,0.7623915999825552,0.0,1.947288063647036
2025-08-05,104.0,3913116850.0,0.3343495669274457,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,28,0.701200716068544,0.0,1.404808579453201
2025-08-06,104.0,3913116850.0,0.3705823688775887,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,29,0.7505416039153284,0.0,1.5689348961156961
2025-08-07,104.0,3913116850.0,0.4093281763293157,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-06 14:11:25.299267,30,0.810075899612148,0.0,1.850384928454953
2025-07-09,104.0,3913116852.0,0.4758632967754081,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-06 14:11:25.299267,1,0.6277069281273849,0.0,1.9984604818861982
2025-07-10,104.0,3913116852.0,0.44736615856196565,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-06 14:11:25.299267,2,0.558043113100869,0.0,1.994879771539726
2025-07-11,104.0,3913116852.0,0.5189622436334743,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-06 14:11:25.299267,3,0.6517691958638353,0.0,1.9999856260361066
2025-07-12,104.0,3913116852.0,0.5587500935430648,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-06 14:11:25.299267,4,0.8465233885782992,0.0,3.0111539276391834
2025-07-13,104.0,3913116852.0,0.5470467638168311,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-06 14:11:25.299267,5,0.7339544047432425,0.0,2.3456937577942503
2025-07-14,104.0,3913116852.0,0.5361905208188534,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-06 14:11:25.299267,6,0.898204624115114,0.0,3.0111539276391834
